HVGs
ISG15
AGRN
TNFRSF4
SCNN1D
DVL1
AURKAIP1
ANKRD65
VWA1
TMEM240
MIB2
CDK11B
PLCH2
TNFRSF14
FAM213B
MMEL1
TPRG1L
KCNAB2
PHF13
SPSB1
APITD1-CORT
PEX14
EXOSC10
MIIP
VPS13D
EFHD2
C1orf64
ARHGEF19
NBPF1
CROCC
SDHB
ARHGEF10L
IGSF21
KLHDC7A
UBR4
AKR7A3
OTUD3
HSPG2
C1QB
LUZP1
TCEA3
PNRC2
NCMAP
RSRP1
PAQR7
STMN1
EXTL1
CD52
HMGN2
PIGV
FAM46B
MAP3K6
SMPDL3B
ATPIF1
TAF12
COL16A1
KPNA6
CCDC28B
LCK
ZBTB8B
ZBTB8OS
ZNF362
CSMD2
GJA4
C1orf216
COL8A2
EVA1B
DNALI1
GNL2
KCNQ4
PPIH
SLC2A1
HYI
DMAP1
ERI3
BTBD19
PTCH2
HECTD3
ZSWIM5
MUTYH
AKR1A1
FAAH
MKNK1
ECHDC2
HSPB11
CYB5RL
JAK1
PDE4B
GNG12
CTH
NEGR1
USP33
FAM73A
PTGFR
IFI44L
ADGRL2
DDAH1
GBP3
GBP1
GBP2
GBP4
GBP5
ZNF644
SLC44A3
PLPPR4
PALMD
TRMT13
VCAM1
SLC25A24
FAM102B
STXBP3
GSTM3
CSF1
DRAM2
C1orf162
FAM212B
PPM1J
SLC16A1
PHTF1
TRIM45
GDAP2
ZNF697
FCGR1B
NBPF19
SF3B4
MTMR11
VPS45
ANP32E
CA14
C1orf54
ECM1
CTSK
ARNT
TNFAIP8L2
PSMD4
TDRKH
FLG
S100A9
S100A14
UBAP2L
ADAM15
MUC1
HCN3
FDPS
GON4L
UBQLN4
LAMTOR2
LMNA
TSACC
CRABP2
SH2D2A
PEAR1
FCRL3
CD1D
MNDA
CFAP45
LY9
FCER1G
MPZ
CFAP126
DDR2
HSD17B7
DCAF6
SELP
C1orf112
FMO3
DNM3
RABGAP1L
BRINP2
RASAL2
SOAT1
QSOX1
KIAA1614
RGSL1
LAMC2
NMNAT2
NCF2
RGS1
KCNT2
NEK7
PTPRC
C1orf106
CACNA1S
PKP1
TNNT2
ADORA1
KISS1
GOLT1A
PIK3C2B
LRRN2
HSD11B1
KCNH1
TRAF5
SMYD2
CAPN8
EPHX1
ACBD3
WNT9A
C1orf145
ACTA1
SLC35F3
TARBP1
RBM34
LYST
ERO1B
RGS7
EFCAB2
SH3BP5L
AKR1C2
NET1
CALML5
ASB13
ANKRD16
GATA3
CCDC3
OPTN
PRPF18
SUV39H2
FAM171A1
TRDMT1
VIM
NEBL
CASC10
DNAJC1
KIAA1217
PRTFDC1
GAD2
ANKRD26
SVIL
MAP3K8
NRP1
ZNF33B
C10orf10
ZNF22
ARHGAP22
IPMK
ARID5B
SRGN
PALD1
TBATA
C10orf54
ZSWIM8
KAT6B
KCNMA1
PLAC9
ATAD1
PTEN
STAMBPL1
IFIT2
HECTD2
PPP1R3C
BTAF1
FRA10AC1
PIK3AP1
EXOSC1
PYROXD2
CUTC
SCD
SEC31B
SFXN3
BTRC
KCNIP2
HPS6
TRIM8
ARL3
CFAP43
SMC3
ADRB1
CCDC186
AFAP1L2
FAM160B1
SLC18A2
FAM45A
FANK1
MGMT
PWWP2B
CFAP46
ADGRA1
FUOM
SIGIRR
DEAF1
TALDO1
CRACR2B
TNNI2
MRPL23
ASCL2
SLC22A18
HBB
TRIM22
RRP8
ILK
EIF3F
AKIP1
ZNF143
SBF2
GALNT18
DKK3
SPON1
ABCC8
LDHA
LDHC
TMEM86A
SLC17A6
LIN7C
IMMP1L
LMO2
PRR5L
RAG1
ALKBH3
ACCS
CD82
PHF21A
DDB2
NDUFS3
FNBP4
PTPRJ
SLC43A1
UBE2L6
MS4A6A
LRRC10B
FADS2
RAB3IL1
B3GAT3
GANAB
METTL12
UBXN1
HNRNPUL2
WDR74
HRASLS5
RARRES3
PLA2G16
VEGFB
BAD
PRDX5
CCDC88B
NRXN2
RASGRP2
MAP4K2
MEN1
ZFPL1
TM7SF2
SLC25A45
AP000769.1
LTBP3
SSSCA1
AP5B1
MUS81
EFEMP2
FIBP
EIF1AD
CST6
CATSPER1
SF3B2
NPAS4
CCS
POLD4
CORO1B
TESMIN
MRPL21
TPCN2
KRTAP5-8
PDE2A
ATG16L2
MRPL48
XRRA1
ACER3
PAK1
AAMDC
CREBZF
CEP295
CEP57
TMEM133
BIRC2
TMEM123
CASP4
NPAT
LAYN
CRYAB
BUD13
IL10RA
TMPRSS4
MPZL2
CD3D
TTC36
TRAPPC4
C2CD2L
CCDC153
MCAM
UBASH3B
ROBO3
STT3A
PUS3
CDON
NTM
B4GALNT3
VWF
VAMP1
MRPL51
COPS7A
CD4
ATN1
C1S
C1R
CLSTN3
GDF3
A2M
MAGOHB
BORCS5
APOLD1
DDX47
GPRC5A
FAM234B
MGP
C12orf60
ERP27
PTPRO
KCNJ8
CMAS
LRMP
KRAS
OVCH1
CPNE8
LRRK2
PPHLN1
SLC38A4
PCED1B
SENP1
TMBIM6
NCKAP5L
FAIM2
GPD1
CERS5
POU6F1
NR4A1
KRT86
KRT8
MFSD5
HOXC6
HOXC4
ITGA5
NCKAP1L
PPP1R1A
DCD
MUCL1
TESPA1
DGKA
SUOX
ZC3H10
MYL6B
RDH16
R3HDM2
MARS
DDIT3
SLC26A10
AGAP2
FAM19A2
RASSF3
LEMD3
MDM1
RAP1B
GLIPR1L1
OSBPL8
LRRIQ1
C12orf50
KITLG
LUM
DCN
BTG1
CRADD
CEP83
NDUFA12
ANKS1B
TDG
CHST11
SLC41A2
C12orf45
MTERF2
PWP1
KCTD10
MAPKAPK5
SLC8B1
MED13L
PRKAB1
BICDL1
GATC
CABP1
OASL
CAMKK2
KDM2B
MPHOSPH9
EIF2B1
SCARB1
SFSWAP
ANKLE2
CHFR
EEF1AKMT1
LATS2
RNF17
MTMR6
B3GLCT
RFXAP
